SDATETIME,ENB_CELL,ENB_ID,CELL_ID,LCR_ID,BUSY_HOUR,BTS_VERSION,CELL_NAME,CITY,NETACTID,CELL_PROPERTY,CELL_EARFCN,CELL_BW,PDCP_SDU_VOL_UL_MB,PDCP_SDU_VOL_DL_MB,AVG_DL_PRB_USAGE_TTI,AVG_UL_PRB_USAGE_TTI,MEAN_PRB_AVAIL_PDSCH,MEAN_PRB_AVAIL_PUSCH,RRC_CONN_UE_MAX,RRC_CONN_UE_AVG,CELL_LOAD_ACT_UE_MAX,CELL_LOAD_ACT_UE_AVG,CMCC_EFFECTIVE_RRC_CONN_UE_AVG,CMCC_EFFECTIVE_RRC_CONN_UE_MAX,PDCCH_1_OFDM_SYMBOL,PDCCH_2_OFDM_SYMBOL,PDCCH_3_OFDM_SYMBOL,CCE_AVAIL_ACT_TTI,PDCCH_cce_used,PDCCH_CCE_Usage,PDCCH_CCE_BLK_Rate,agg1_blocked_pdcch,agg2_blocked_pdcch,agg4_blocked_pdcch,agg8_blocked_pdcch,AGG1_USED_PDCCH,AGG2_USED_PDCCH,AGG4_USED_PDCCH,AGG8_USED_PDCCH,PDCP_SDU_VOL_UL_ALLDAY_MB,PDCP_SDU_VOL_DL_ALLDAY_MB
20181230,99065-131,99065,131,131,9,TL16A,ChangPingBeiJingLaoWanQingJieGongNuanSheBeiYouXianGongSiNLM-131,,,,38950,20,13.333,242.9234,1.73,2.35,99,82,9,1,9,1,1.09,6,2877865,1492,636,57692458,318621,0.55,0,0,0,0,0,227293,2934,1137,10114,109.0582,869.2649
20181230,96893-201,96893,201,201,15,TL16A,ChaoYangJinQuanGuangChangJiuDianAZuo1NLM-201,,,,38950,20,72.5645,626.2321,3.93,14.63,99,85,29,6,29,6,1.2525,9,2859695,19766,540,58294649,2170999,3.72,0,7,1,0,0,1602421,104291,12155,38922,609.7974,4980.572
20181230,96893-202,96893,202,202,16,TL16A,ChaoYangJinQuanGuangChangJiuDianAZuo1NLM-202,,,,38950,20,21.5337,64.5486,1.25,2.75,99,85,9,1,9,1,1.0475,5,2861706,18097,203,58218330,926753,1.59,0,1,0,0,0,226863,97057,32098,47173,100.2183,611.8706
20181230,96894-211,96894,211,211,15,TL16A,ChaoYangJinQuanGuangChangJiuDianBZuo1NLM-211,,,,39148,20,476.2364,2611.9792,14.93,30.83,99,85,112,34,112,34,8.1253125,42,2599968,269866,10159,67285962,10729589,15.95,0.02,1117,307,37,6,3479275,1298671,351537,405853,4295.4781,24872.8269
20181230,96894-201,96894,201,201,19,TL16A,ChaoYangJinQuanGuangChangJiuDianBZuo1NLM-201,,,,38950,20,314.2953,3356.4126,17.7,25.55,99,85,82,25,82,25,5.93052083333333333333333333333333333333,30,2642655,222132,15230,66029065,9168611,13.89,0.01,442,124,16,1,2396273,1182001,398706,351689,3301.9202,21296.9437
20181230,96896-201,96896,201,201,15,TL16A,ChaoYangZiYuShanZhuangCheKuNLM-201,,,,38950,20,9.0522,24.065,1.05,1.35,99,85,8,1,8,1,1.06010416666666666666666666666666666667,5,2869322,9193,1485,58004866,462451,0.8,0,0,0,0,0,172941,24789,8773,25605,48.5283,177.6579
20181230,96902-201,96902,201,201,19,TL16A,ChaoYangFuXiDaDaoGongZuFangNLM-201,,,,38950,20,71.5059,1911.121,8.08,11.38,99,85,51,7,18,7,1.2740625,8,2856300,23605,96,58393437,2518525,4.31,0,9,0,0,0,1578749,200746,36931,48820,643.8427,9143.0612
20181230,96904-201,96904,201,201,21,TL16A,ChaoYangLiDouShuiAn3NLM-201,,,,38950,20,42.5685,930.6608,4.05,7.05,99,85,21,7,21,7,1.24520833333333333333333333333333333333,8,2868875,11083,42,57972526,2630832,4.54,0,4,0,0,0,2287066,36791,15318,26114,1055.0002,8630.6
20181230,96908-1,96908,1,1,23,TL16A,ChaoYangJingAnLi30HaoLouNLM-1,,,,38950,20,428.48,839.2501,5.48,17.43,99,85,17,5,17,5,1.1225,7,2850343,29204,455,58607782,2153470,3.67,0,12,0,3,3,1116294,190064,50094,57084,1678.1407,10058.4618
20181230,96908-11,96908,11,11,1,TL16A,ChaoYangJingAnLi30HaoLouNLM-11,,,,39148,20,40.4215,1551.9732,5.68,4.08,99,85,21,7,21,7,1.19614583333333333333333333333333333333,7,2878017,1975,15,57667210,1010013,1.75,0,0,0,0,0,747127,89355,4930,8057,1732.3675,15109.34
20181230,96910-201,96910,201,201,13,TL16A,ChaoYangYangGuangShangDongErQi2NLM-201,,,,38950,20,44.2681,955.8682,4.98,5.45,99,85,20,5,20,5,1.79166666666666666666666666666666666667,11,2875635,3927,434,57759328,1352938,2.34,0,1,0,0,0,1175304,16445,4634,15776,609.7836,6636.7155
