SDATETIME,ENB_CELL,ENB_ID,CELL_ID,LCR_ID,BTS_VERSION,CELL_NAME,CITY,NETACTID,UL_packet_loss_rate_qci1,PDCP_SDU_LOSS_UL_QCI_1_FNA,PDCP_SDU_total_UL_QCI_1,DL_packet_loss_rate_qci1,PDCP_SDU_LOSS_DL_QCI_1_FNA,PDCP_SDU_total_DL_QCI_1,RRC_STP_SR,RRC_STP_SUC_NUM,RRC_STP_ATT_NUM,ERAB_STP_SR,ERAB_STP_ATT_NUM,ERAB_STP_SUC_NUM,ERAB_STP_SR_QCI1,ERAB_STP_SUC_num_qci1,ERAB_STP_ATT_num_qci1,ERAB_STP_SR_QCI2,ERAB_STP_SUC_num_qci2,ERAB_STP_ATT_num_qci2,ERAB_STP_SR_QCI5,ERAB_STP_SUC_num_qci5,ERAB_STP_ATT_num_qci5,ERAB_DCR_QCI1,eNB_req_rel_ERAB_QCI1,Normal_Rel_ERAB_QCI1,Ho_failure_QCI1,ERAB_STP_SUC_QCI1,last_period_ERAB_NUM_QCI1,ERAB_REL_ENB_ACT_QCI1,ERAB_REL_ENB_RNL_INA_QCI1,ERAB_REL_ENB_RNL_UEL_QCI1,ERAB_REL_ENB_RNL_RRNA_QCI1,ERAB_REL_ENB_TNL_TRU_QCI1,ERAB_REL_ENB_RNL_RED_QCI1,ERAB_REL_HO_PART_QCI1,ESRVCC_HO_SR,ESRVCC_HO_SR_northbound,ISYS_HO_GERAN_SRVCC_SUCC,ISYS_HO_GERAN_SRVCC_ATT,ISYS_HO_GERAN_SRVCC_FAIL,ISYS_HO_PREP_FAIL_TIM,ISYS_HO_PREP_FAIL_ACM,ISYS_HO_PREP_FAIL_OTH,VoLTE_erls_NorthBound,VoLTE_erls_2
20181230,99065-131,99065,131,131,TL16A,ChangPingBeiJingLaoWanQingJieGongNuanSheBeiYouXianGongSiNLM-131,,,3.7609,5244,139433,0.3105,614,197748,99.38,3975,4000,98.98,5571,5514,100,105,105,100,0,0,98.78,2025,2050,0,8,8,0,105,1,0,8,1,0,0,0,0,100,100,7,7,0,0,0,0,0.0729,0.0644
20181230,96893-201,96893,201,201,TL16A,ChaoYangJinQuanGuangChangJiuDianAZuo1NLM-201,,,0.2826,842,297898,0.0733,280,382168,99.98,22375,22380,99.98,33414,33408,99.45,180,181,100,0,0,99.99,12158,12159,0,11,11,0,180,1,0,11,0,0,0,0,0,100,100,1,1,0,0,0,0,0.1358,0.1202
20181230,96893-202,96893,202,202,TL16A,ChaoYangJinQuanGuangChangJiuDianAZuo1NLM-202,,,1.0999,36,3273,0.0132,1,7580,99.97,25891,25899,99.93,42500,42469,98.77,161,163,100,0,0,99.92,16736,16749,0,1,1,0,161,1,0,1,0,0,0,0,0,100,100,0,0,0,0,0,0,0.005,0.0022
20181230,96894-201,96894,201,201,TL16A,ChaoYangJinQuanGuangChangJiuDianBZuo1NLM-201,,,0.1575,962,610724,0.0257,210,817988,99.99,67867,67874,99.97,111637,111609,100,754,754,100,2,2,99.96,44312,44328,0,81,81,0,754,1,0,81,0,0,0,0,0,100,100,7,7,0,0,0,0,0.3127,0.2453
20181230,96894-211,96894,211,211,TL16A,ChaoYangJinQuanGuangChangJiuDianBZuo1NLM-211,,,0.1385,3192,2305421,0.0122,329,2693715,99.99,128776,128789,99.99,212406,212386,100,1397,1397,100,0,0,99.99,83274,83283,0,227,227,0,1397,2,0,226,0,0,0,1,0,100,100,4,4,0,0,0,0,1.0096,0.8651
20181230,96896-201,96896,201,201,TL16A,ChaoYangZiYuShanZhuangCheKuNLM-201,,,1.0473,802,76577,0.271,310,114387,99.76,3709,3718,99.62,6001,5978,100,51,51,100,0,0,99.64,2484,2493,0,4,4,0,51,1,0,4,0,0,0,0,0,100,100,9,9,0,0,0,0,0.0343,0.0309
20181230,96902-201,96902,201,201,TL16A,ChaoYangFuXiDaDaoGongZuFangNLM-201,,,0.5923,1958,330581,0.2521,1024,406237,99.98,28027,28034,99.91,37515,37483,100,234,234,100,3,3,99.92,14048,14059,0,24,24,0,234,1,0,24,0,0,0,0,0,100,100,0,0,0,0,0,0,0.1505,0.1341
20181230,96904-201,96904,201,201,TL16A,ChaoYangLiDouShuiAn3NLM-201,,,0.2528,551,217935,0.0692,210,303612,100,28083,28083,99.94,43207,43179,100,180,180,100,0,0,99.91,16179,16193,0,13,13,0,180,1,0,13,0,0,0,0,0,100,100,6,6,0,0,0,0,0.1124,0.0984
20181230,96908-1,96908,1,1,TL16A,ChaoYangJingAnLi30HaoLouNLM-1,,,0.0303,49,161840,0.0227,46,202873,99.98,13329,13331,100,22475,22475,100,96,96,100,0,0,100,9197,9197,0,9,9,0,96,1,0,9,0,0,0,0,0,100,100,0,0,0,0,0,0,0.1222,0.1108
20181230,96908-11,96908,11,11,TL16A,ChaoYangJingAnLi30HaoLouNLM-11,,,0.0666,151,226620,0.0012,4,323415,100,25276,25276,99.99,41485,41481,100,153,153,100,0,0,99.99,16695,16697,0,7,7,0,153,1,0,7,0,0,0,0,0,100,100,0,0,0,0,0,0,0.114,0.1025
